path,person,quality
..\data\ananthu\high_quality\Ananthu_frame0001.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0002.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0003.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0004.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0005.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0006.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0007.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0008.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0009.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0010.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0011.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0012.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0013.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0014.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0015.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0016.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0017.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0018.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0019.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0020.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0021.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0022.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0023.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0024.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0025.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0026.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0027.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0028.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0029.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0030.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0031.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0032.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0033.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0034.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0035.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0036.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0037.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0038.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0039.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0040.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0041.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0042.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0043.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0044.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0045.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0046.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0047.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0048.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0049.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0050.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0051.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0052.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0053.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0054.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0055.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0056.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0057.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0058.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0059.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0060.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0061.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0062.jpg,ananthu,high
..\data\ananthu\high_quality\Ananthu_frame0063.jpg,ananthu,high
